path	len	chunk	inode	sha256
/home/hiro/prj/jev-optimize/artifacts/hintbench-aa-study/p5b/bin/c112xxxxxxxxxxxxxxxxxxxxxxxxxxx	96	112	1426913	a84b7c0dfe37e4f6
/home/hiro/prj/jev-optimize/artifacts/hintbench-aa-study/p5b/bin/c80xx	70	80	1426971	a84b7c0dfe37e4f6
/home/hiro/prj/jev-optimize/artifacts/hintbench-aa-study/p5b/bin/c96xxxxxxxxxxxx	80	96	1426973	a84b7c0dfe37e4f6
